Total University Score,Teaching Score,Research Score,Citation Score,International Score,Income Score,Staff to Student Ratio,Name,key,rank
60.4,53.1,36.1,95.6,20.9,51.72624113,8.474576271,William & Mary,75,75
60.3,47.7,45.3,84.4,84.2,31.6,5.555555556,Trinity College Dublin,76,76
59.7,48.5,54.5,72.1,85.9,44.1,8.771929825,Kings College London,77,77
59.6,48.5,43.6,85.8,52.2,51.72624113,9.174311927,Stony Brook University,78,78
59.5,71.3,63.4,45.5,36.7,100,10,Korea Advanced Institute of Science and Technology,79,79
59.5,42.4,42.4,91.6,72.8,29.1,5.747126437,University of Sussex,80,79
59.1,51.8,53.4,69,74.2,57.1,3.058103976,The University of Queensland,81,81
59.1,47.9,46.2,81.9,66.6,36.2,8.49,University of York,82,81
59,59.2,47.5,70.3,63.4,39.1,4.081632653,Heidelberg University,83,83
59,55.8,54.2,72,22.5,51.72624113,5.917159763,University of Utah,84,83
58.9,39.8,44.1,91,65.7,33.9,6.369426752,Durham University,85,85
58.3,62.4,56.2,51.6,99.5,38.4,8.49,London School of Economics and Political Science,86,86
58,56.5,56.2,59.2,79.1,39,6.535947712,University of Manchester,87,87
57.9,37.7,36.2,93.2,92.9,30.5,6.289308176,Royal Holloway  University of London,88,88
57.8,46.3,60.8,67.6,56.8,33.2,8.695652174,Lund University,89,89
57.7,50.8,47.8,72.9,69,37.7,7.407407407,University of Southampton,90,90
57.7,56.6,47,65,87.9,43.8,15.38461538,University of Zurich,91,90
57.7,54.6,42.9,79.2,24.4,51.72624113,21.73913043,Wake Forest University,92,90
57.6,44.7,58.7,68.5,54.23,51.72624113,5.18134715,McMaster University,93,93
57.5,42.4,36.6,86.3,87,51.72624113,4.081632653,University College Dublin,94,94
57.3,60.6,43.1,70.2,39.6,51.72624113,8.333333333,George Washington University,95,95
57.3,52.4,52.2,70.1,21.9,84.2,7.874015748,University of Arizona,96,95
57.3,50.2,37.1,78.3,91.3,45.8,5.780346821,University of Basel,97,95
57.2,45.4,48.6,79.2,35.4,51.72624113,11.9047619,University of Maryland  College Park,98,98
57.1,44.7,49.2,79.7,31,51.72624113,15.15151515,Dartmouth College,99,99
57,51.1,34.4,88.8,37.6,26.1,12.5,cole Normale Suprieure de Lyon,100,100
56.9,50.4,43.2,71.2,85.3,51.72624113,3.174603175,Technical University of Munich,101,101
56.6,49,51.4,75.4,24.2,30.2,6.622516556,University of Helsinki,102,102
56.5,44.8,47.7,72.9,85.7,32.6,7.874015748,University of St Andrews,103,103
56.4,50.5,54.6,64.9,48,51.72624113,6.666666667,Rensselaer Polytechnic Institute,104,104
56.3,53.4,64.7,55.7,26.8,51.72624113,5.780346821,Rutgers  the State University of New Jersey,105,105
56.2,57,67.8,43.9,62.6,51.72624113,5.524861878,Purdue University,106,106
56.1,52.2,52.6,66.9,34.1,50.2,7.407407407,National Tsing Hua University,107,107
56.1,36.6,42.1,82.8,83.3,51.72624113,8.26446281,University of Cape Town,108,107
56,46.3,49.2,77.6,19.9,44,8.064516129,Pennsylvania State University,109,109
56,62.3,54.1,54.6,44.9,43,7.194244604,Seoul National University,110,109
55.6,32.9,32.5,97.6,71.8,26.7,9.090909091,Hong Kong Baptist University,111,111
55.4,34.3,36.1,95.7,47.7,32.4,8.49,Bilkent University,112,112
55.4,62.9,63.4,45.5,24.8,60.5,13.69863014,Tokyo Institute of Technology,113,112
55.3,55.4,51.7,56.9,44.9,99.8,6.25,Eindhoven University of Technology,114,114
55.2,50.3,59,61.6,29.2,35.7,8.403361345,National Taiwan University,115,115
55.2,38.3,47.6,81,34.2,51.72624113,8.49,University of Hawais,116,115
55.1,38.6,47.4,78.3,63,30.5,4.545454545,University of California  Riverside,117,117
55,46.6,49.7,63.1,95.7,32.7,6.666666667,University of Geneva,118,118
54.8,57.7,62.9,45.2,29.6,97.7,2.386634845,KU Leuven,119,119
54.6,52.2,46.2,66,50.2,43.4,7.518796992,Nanjing University,120,120
54.6,39.7,44.1,73.5,91,38.9,7.142857143,Queen Mary University of London,121,120
54.5,50.4,52.7,63.7,30.4,51.72624113,6.369426752,Michigan State University,122,122
54.5,46.2,46.9,64.6,64,95.5,20,Technical University of Denmark,123,122
54.4,52.8,59.1,52.8,24.7,97.1,2.93255132,Ghent University,124,124
54.4,43.5,41.9,74.9,73.8,28.8,6.711409396,Lancaster University,125,124
54.4,47.3,54.9,59.3,40,100,5.847953216,Leiden University,126,124
54.3,53.7,58,49.7,71.6,44.5,4.62962963,University of Alberta,127,127
54.2,45.6,50.3,65.1,55.1,61,6.25,University of Glasgow,128,128
54,36.9,49.2,75.9,54.23,31.7,4.219409283,Stockholm University,129,129
